职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
招聘运维环保测试技术工程师助理岗,4000-6000元,北京新桐环保工程有限公司,西安,鄠邑,甘亭,经验不限,本科,环保,20-99人,
C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
对日中高级JAVA开发(SE) 西安,1.2-2万·13薪,上海达巴辛软件有限公司,西安,雁塔,丈八沟,3-5年,大专,计算机软件,20-99人,民营
数据采集分析工程师,3000-5000元,陕西青研云信息科技有限责任公司,西安,雁塔,电子城,经验不限,学历不限,IT服务,20-99人,民营
Java/Python/C++/C/前端/测试工程师全国,1.6-3万·14薪,外企德科数字技术有限公司,西安,雁塔,丈八沟,经验不限,本科,人力资源服务,10000人以上,合资
后端开发/线上面试/需接受出差,1-1.2万,云锐人才服务(上海)有限公司,西安,未央,张家堡,经验不限,本科,人力资源服务,100-299人,民营
java运维开发工程师（实习岗）,120-200元/天,久远银海,西安,碑林,太乙路,无经验,本科,计算机软件,1000-9999人,上市公司
软件开发工程师（java\js\python\go\c\c++\C#\测试）,1.7-3万·16薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
产品测试工程师,5000-8000元,陕西易度智能科技有限公司,西安,未央,草滩,经验不限,本科,仪器仪表制造,20-99人,民营
对日Java开发,8000-12000元,上海朗裕信息科技有限公司,西安,雁塔,丈八沟,3-5年,大专,计算机软件,20-99人,民营
java/Python/C/C++/JS/AI算法/软件测试,2-4万,外企德科数字技术有限公司,西安,长安,郭杜,经验不限,本科,人力资源服务,10000人以上,合资
软件测试工程师,9000-13000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
android及Flutter开发工程师,9000-15000元,金码智能科技(杭州)有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机软件,20-99人,民营
软件研发工程师,1.4-2.8万,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
java,1.1-1.8万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,1-3年,大专,计算机软件,1000-9999人,上市公司
对日JAVA软件开发(中高级SE),1.2-2万·13薪,上海达巴辛软件有限公司,西安,雁塔,丈八沟,3-5年,大专,计算机软件,20-99人,民营
C++/Java【接受0基础转语言、应届生无经验】,1.6-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
运维工程师助理,3000-5000元,陕西青研云信息科技有限责任公司,西安,,电子城,经验不限,大专,IT服务,20-99人,民营
功能测试工程师,8000-10000元,西安山海鲲鸿信息科技有限公司,西安,雁塔,丈八沟,无经验,本科,计算机软件,100-299人,民营
H14053岗Java自动化测试,8000-10000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,经验不限,大专,计算机软件,1000-9999人,民营
java运维工程师,5000-8000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
中高级android开发工程师（线上面试）,1.1-2万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,1000-9999人,上市公司
软件开发/测试工程师,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
Java转运维【年前年后随时都可入职】,6000-11000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,经验不限,本科,互联网,10000人以上,民营
软件测试（实习生）,3000-5000元,西安润道智检科技有限公司,西安,长安,郭杜,经验不限,本科,计算机软件,100-299人,民营
测试实习生【26届】,120-130元/天,博彦科技承德有限公司,西安,雁塔,漳浒寨,无经验,本科,IT服务,1000-9999人,股份制企业
java运维工程师,5000-10000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,经验不限,本科,互联网,10000人以上,民营
Java工程师实习生（人才储备）,2000-3000元,陕西安华讯科技有限公司,西安,雁塔,电子城,经验不限,大专,互联网,20-99人,民营
Java开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
初级测试工程师,5000-6000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
java初级工程师,1.3-1.5万,安徽哈雷教育科技集团有限公司,西安,碑林,张家村,经验不限,大专,IT服务,300-499人,
C++软件开发（接受2024应届生）,1.5-3万·15薪,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
软件测试工程师（2025届实习）,100-130元/天,明朝万达,西安,雁塔,漳浒寨,无经验,本科,网络/信息安全,500-999人,民营
测试工程师（培养）,8000-15000元,天阳科技,西安,未央,张家堡,1-3年,本科,计算机软件,1000-9999人,上市公司
软件开发/测试 python/java/js/c++都可 六险一金,1.3-2.6万·14薪,外企德科数字技术有限公司,西安,长安,郭杜,经验不限,本科,人力资源服务,10000人以上,合资
Java开发工程师,8000-11000元,江西敦哲网络科技有限公司,西安,未央,张家堡,经验不限,大专,互联网,20-99人,民营
Java开发工程师,6000-9000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,鱼化寨,1年以下,本科,互联网,10000人以上,民营
初/中级嵌入式音频测试工程师,5000-8000元,西安易之声科技有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,民营
测试实习生,150-200元/天,博彦科技承德有限公司,西安,雁塔,鱼化寨,无经验,大专,IT服务,1000-9999人,股份制企业
Java/C/C++/JS/python/测试/运维开发/数据（接受24届无经验、考研断档等）,1.7-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
Java研发工程师（实习生-西安）,100-130元/天,明朝万达,西安,雁塔,漳浒寨,无经验,本科,网络/信息安全,500-999人,民营
人工智能工程师（实习）,7000-9000元·14薪,西安山海鲲鸿信息科技有限公司,西安,雁塔,丈八沟,无经验,本科,计算机软件,100-299人,民营
java开发工程师,5000-8000元,西安迅华信息科技有限公司,西安,雁塔,,经验不限,本科,互联网,20-99人,民营
软件开发工程师（24届、25届可投）,8000-10000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,大专,计算机软件,20-99人,民营
C++开发助理,8000-12000元,西安山海鲲鸿信息科技有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,100-299人,民营
软件开发 无线网络方向,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
初级java开发工程师,5000-6000元,青岛雨诺网络信息股份有限公司,西安,莲湖,桃园路,经验不限,本科,咨询服务,500-999人,上市公司
Java开发工程师,8000-12000元·14薪,西安山海鲲鸿信息科技有限公司,西安,雁塔,丈八沟,经验不限,大专,计算机软件,100-299人,民营
java开发助理,7000-8000元,陕西中科梓逸信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,人工智能,20-99人,合资
全栈工程师,9000-12000元,上海朗裕信息科技有限公司,西安,雁塔,丈八沟,3-5年,大专,计算机软件,20-99人,民营
python测试工程师,面议,中软国际,西安,碑林,张家村,经验不限,本科,计算机软件,10000人以上,上市公司
初级java全栈开发工程师,9000-12000元,邦泽智能装备制造集团有限公司,西安,未央,徐家湾,3-5年,本科,通用设备制造,100-299人,
Java/C++/测试/python,1.2-2.3万·14薪,外企德科数字技术有限公司,西安,长安,郭杜,1-3年,本科,人力资源服务,10000人以上,合资
H14124岗测试开发,8000-9000元,武汉佰钧成技术有限责任公司,西安,雁塔,漳浒寨,3-5年,本科,计算机软件,1000-9999人,民营
（F）AOS 安卓开发 外企 居家办公,1.6-2.2万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,1000-9999人,上市公司
java工程师,1.4-1.6万,湖北合丰汇仓储有限公司,西安,碑林,文艺路,1-3年,大专,货运/物流/仓储,20-99人,民营
日企诚聘赴日工程师 java PHP,1-1.5万,株式会社トップクラウド,西安,未央,张家堡,1-3年,大专,计算机软件,20-99人,民营
研发工程师,1.8-3.5万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
自动化测试（英文环境可居家办公）,1.2-1.8万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,1000-9999人,上市公司
Java开发工程师,1.4-1.6万,陕西广浩东清网络有限公司,西安,碑林,太乙路,1-3年,大专,电子商务,20人以下,
java全栈工程师,6000-8000元,陕西丹凤龙桥资产管理有限公司,西安,雁塔,电子城,经验不限,本科,计算机软件,100-299人,民营
软件工程师,面议,华为技术有限公司,西安,,漳浒寨,经验不限,本科,运营商/增值服务,10000人以上,民营
通用软件开发实习生,4000-6000元,陕西盛为网络科技有限公司,西安,雁塔,电子城,经验不限,大专,计算机软件,20-99人,民营
开发岗（Java/python/golang/C++语言不限),1.8-3.5万,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
软件测试工程师课程/培训招生西安,8000-12000元,51Testing,西安,雁塔,小寨路,经验不限,大专,计算机软件,100-299人,民营
java开发助理,6000-12000元,郑州昌硕电子科技有限公司,西安,莲湖,,经验不限,大专,电子商务,20-99人,
java、C/C++、python等个后端开发,1.6-3万·14薪,外企德科数字技术有限公司,西安,长安,郭杜,经验不限,本科,人力资源服务,10000人以上,合资
java开发实习生,5000-8000元,西安正麦科技有限公司,西安,雁塔,杜城,经验不限,本科,计算机软件,20人以下,
云服务开发实习生,面议,华为技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,运营商/增值服务,10000人以上,民营
软件开发/软件测试,1.2-1.4万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
对日软件开发工程师,1-2万,西安北科软件有限公司,西安,雁塔,丈八沟,3-5年,本科,计算机软件,20人以下,民营
后端开发JAVA/C/C++/Python,8000-12000元,西安软玥信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,民营
JAVA/C/C++/Python/go/web开发工程师 全国岗14薪，全额社保公积金 应届生/考研/考公失败可投,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,,经验不限,本科,人力资源服务,10000人以上,合资
相机效果测评实习生,100-150元/天,武汉佰钧成技术有限责任公司,西安,雁塔,鱼化寨,无经验,大专,计算机软件,1000-9999人,民营
云计算运维工程师（可居家办公）,8000-12000元,江西敦哲网络科技有限公司,西安,未央,建章路,经验不限,大专,互联网,20-99人,民营
JAVA后端开发工程师（集中交付）(J13918),6000-12000元,汉得信息,西安,长安,斗门,无经验,本科,计算机软件,10000人以上,上市公司
软件开发工程师（Java/C++/C测试/python/JS/）,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
C/C++开发工程师,1-1.6万,西安山海鲲鸿信息科技有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,100-299人,民营
安全售后工程师（可实习）,3000-5000元,陕西盛为网络科技有限公司,西安,雁塔,电子城,无经验,大专,计算机软件,20-99人,民营
Java软件开发工程师,1.7-3万·16薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
java,8000-10000元,内蒙古冰城供应链管理有限公司,西安,雁塔,丈八沟,1-3年,大专,计算机软件,100-299人,民营
少儿编程教师,7000-10000元,新东方教育科技集团有限公司,西安,碑林,张家村,1-3年,本科,培训/辅导服务,10000人以上,上市公司
对日开发初级技术员到项目经理的全职位招聘,1.5-3万,株式会社ProfaceSystems,西安,未央,汉城,1-3年,大专,计算机软件,20-99人,外商独资
Java开发工程师（14-16薪/线上面试）,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,经验不限,本科,人力资源服务,10000人以上,合资
java运维工程师,5000-8000元,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,1-3年,本科,互联网,10000人以上,民营
服务器开发工程师（Python优先）,7000-14000元,深圳数拓科技有限公司,西安,雁塔,丈八沟,1-3年,本科,计算机软件,20-99人,民营
android安卓开发（外企可居家办公）,1.5-2万,深圳市法本信息技术股份有限公司,西安,雁塔,漳浒寨,3-5年,大专,计算机软件,1000-9999人,上市公司
测试开发（Java）,6000-8000元,上海微创软件股份有限公司,西安,雁塔,鱼化寨,3-5年,大专,IT服务,10000人以上,合资
初级java开发工程师,9000-12000元,陕西中科梓逸信息技术有限公司,西安,雁塔,丈八沟,经验不限,本科,人工智能,20-99人,合资
软件开发（接受延毕断档+面试辅导+0经验）,1.5-3万·14薪,外企德科数字技术有限公司,西安,雁塔,漳浒寨,1-3年,本科,人力资源服务,10000人以上,合资
软件运维专员,6000-8000元,郑州九墨智能科技有限公司,西安,雁塔,丈八沟,经验不限,本科,计算机软件,20-99人,
